# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367845811460e-10       4.159909739610e-15       3.530339841496e-13       0.000000000000e+00       8.223414299185e-09       4.443501019711e-10      -1.841287180824e-12 
    3       1.295976386960e-10       5.346996270447e-15       3.964553689312e-13       0.000000000000e+00       5.057848760769e-09       3.152514642630e-10      -1.396808959941e-12 
    4       1.227580996053e-10       4.640615161164e-15       3.707759138211e-13       0.000000000000e+00       3.514783357579e-09       2.387319930182e-10      -9.170778773696e-13 
    5       1.176308465764e-10       3.106584848025e-15       3.158443467849e-13       0.000000000000e+00       2.623083514277e-09       1.885475149189e-10      -5.124129181698e-13 
    6       1.141214520268e-10       1.741246430520e-15       2.544252912512e-13       0.000000000000e+00       2.049014934687e-09       1.533732607818e-10      -2.134350077214e-13 
    7       1.118429275681e-10       9.395587795078e-16       1.997536223693e-13       0.000000000000e+00       1.653304670087e-09       1.275567795006e-10      -2.191427570356e-14 
    8       1.105273884158e-10       6.028676591070e-16       1.576466211307e-13       0.000000000000e+00       1.366746172538e-09       1.079837006902e-10       7.665393288025e-14 
    9       1.099346730240e-10       4.823983407866e-16       1.293948544558e-13       0.000000000000e+00       1.151165137907e-09       9.280640431947e-11       1.051779689064e-13 
   10       1.098335220721e-10       4.113556143841e-16       1.137161841205e-13       0.000000000000e+00       9.840755063857e-10       8.078952697701e-11       8.919337071004e-14 
   11       1.101732925863e-10       3.459111989165e-16       1.079597027377e-13       0.000000000000e+00       8.273503884418e-10       7.139557123595e-11       5.264072240010e-14 
   12       1.107998317149e-10       3.009572380710e-16       1.090798200625e-13       0.000000000000e+00       7.227809315245e-10       6.311199855307e-11       1.309239647670e-14 
   13       1.116649707757e-10       2.879749543007e-16       1.143822452193e-13       0.000000000000e+00       6.369529541344e-10       5.639597374491e-11      -1.734656943637e-14 
   14       1.127288483348e-10       2.995055256264e-16       1.218057684960e-13       0.000000000000e+00       5.655577956643e-10       5.056088566750e-11      -3.424488022129e-14 
