# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.654966020555e-10       7.674535227235e-15       2.362925848254e-13       0.000000000000e+00       8.423751200930e-11       8.807671953456e-12      -6.902291245766e-15 
   41       1.679747915956e-10       8.336423906943e-15       2.270023052105e-13       0.000000000000e+00       8.006127217448e-11       8.418026891491e-12      -6.390310359736e-15 
   42       1.704752235270e-10       9.034049148355e-15       2.163235580149e-13       0.000000000000e+00       7.615584796941e-11       8.047617736252e-12      -6.335179255045e-15 
   43       1.730013393402e-10       9.768014424019e-15       2.042079810415e-13       0.000000000000e+00       7.251084545213e-11       7.697805779619e-12      -6.595784436087e-15 
   44       1.755532852305e-10       1.053887032018e-14       1.906042733247e-13       0.000000000000e+00       6.909971123423e-11       7.368960119661e-12      -6.994708665913e-15 
   45       1.781293448932e-10       1.134711724646e-14       1.754618189327e-13       0.000000000000e+00       6.588920961815e-11       7.060646886739e-12      -7.357503109757e-15 
   46       1.807315315981e-10       1.219322093051e-14       1.587435802138e-13       0.000000000000e+00       6.287426364472e-11       6.772476563653e-12      -7.649799177348e-15 
   47       1.833611027960e-10       1.307759693620e-14       1.404165322239e-13       0.000000000000e+00       6.005134223684e-11       6.503356817899e-12      -7.877365770993e-15 
   48       1.860167156459e-10       1.400060329963e-14       1.204479827571e-13       0.000000000000e+00       5.740795207370e-11       6.251163188547e-12      -8.048289525350e-15 
   49       1.886941964387e-10       1.496253812589e-14       9.880548913212e-14       0.000000000000e+00       5.492197124474e-11       6.012665128723e-12      -8.173119097664e-15 
   50       1.913887978793e-10       1.596363903387e-14       7.545739237043e-14       0.000000000000e+00       5.256830728983e-11       5.784454807316e-12      -8.265455589791e-15 
   51       1.941032281987e-10       1.700408688831e-14       5.037478372439e-14       0.000000000000e+00       5.034254781541e-11       5.566202312094e-12      -8.343577995970e-15 
   52       1.968414028887e-10       1.808399892667e-14       2.352992810146e-14       0.000000000000e+00       4.824257775075e-11       5.358156194572e-12      -8.429508378997e-15 
   53       1.996060365173e-10       1.920342473844e-14      -5.104359548749e-15       0.000000000000e+00       4.626150200982e-11       5.160191803239e-12      -8.548765663940e-15 
   54       2.023985292286e-10       2.036234394888e-14      -3.555476839422e-14       0.000000000000e+00       4.438732382219e-11       4.971784514709e-12      -8.730530922814e-15 
