# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.357145314323e-02       2.389716649940e+04 
       1.370097793367e-02       2.393736520003e+04 
       1.383053909758e-02       2.397548836018e+04 
       1.396013675464e-02       2.401158240617e+04 
       1.408977104754e-02       2.404562987783e+04 
       1.421944214156e-02       2.407768304087e+04 
       1.434915022432e-02       2.410776098381e+04 
       1.447889550539e-02       2.413591787464e+04 
       1.460867821612e-02       2.416212620784e+04 
       1.473849860935e-02       2.418644067866e+04 
       1.486835695925e-02       2.420886841766e+04 
       1.499825356110e-02       2.422949993526e+04 
       1.512818873119e-02       2.424826877414e+04 
       1.525816280667e-02       2.426523495443e+04 
       1.538817614546e-02       2.428043426479e+04 
       1.551822912620e-02       2.429386069157e+04 
       1.564832214816e-02       2.430558889281e+04 
       1.577845563125e-02       2.431559109723e+04 
       1.590863001601e-02       2.432391453432e+04 
       1.603884576359e-02       2.433058048998e+04 
       1.616910335585e-02       2.433559983888e+04 
       1.629940329535e-02       2.433895956669e+04 
       1.642974610548e-02       2.434079703667e+04 
       1.656013233051e-02       2.434103235650e+04 
       1.669056253574e-02       2.433970093943e+04 
       1.682103730762e-02       2.433686214685e+04 
       1.695155725387e-02       2.433249402445e+04 
       1.708212300369e-02       2.432664127540e+04 
       1.721273520793e-02       2.431932438411e+04 
       1.734339453926e-02       2.431052125878e+04 
       1.747410169245e-02       2.430034670047e+04 
       1.760485738454e-02       2.428872978538e+04 
       1.773566235514e-02       2.427574630961e+04 
       1.786651736667e-02       2.426141632461e+04 
       1.799742320466e-02       2.424569521046e+04 
       1.812838067805e-02       2.422868969690e+04 
       1.825939061949e-02       2.421035785305e+04 
       1.839045388573e-02       2.419072208424e+04 
       1.852157135787e-02       2.416983864671e+04 
       1.865274394186e-02       2.414775687318e+04 
       1.878397256876e-02       2.412437636042e+04 
       1.891525819524e-02       2.409980064318e+04 
       1.904660180393e-02       2.407402468625e+04 
       1.917800440391e-02       2.404711655765e+04 
       1.930946703113e-02       2.401904184526e+04 
       1.944099074890e-02       2.398980616630e+04 
       1.957257664836e-02       2.395949147537e+04 
       1.970422584904e-02       2.392805130461e+04 
       1.983593949931e-02       2.389556195053e+04 
       1.996771877701e-02       2.386198380839e+04 
       2.009956488994e-02       2.382739024211e+04 
       2.023147907651e-02       2.379173612772e+04 
       2.036346260632e-02       2.375509445263e+04 
       2.049551678077e-02       2.371741620051e+04 
       2.062764293372e-02       2.367881093340e+04 
       2.075984243219e-02       2.363925824199e+04 
       2.089211667700e-02       2.359876792551e+04 
       2.102446710353e-02       2.355735129146e+04 
       2.115689518241e-02       2.351502101349e+04 
       2.128940242034e-02       2.347182314946e+04 
       2.142199036082e-02       2.342773154725e+04 
       2.155466058498e-02       2.338278799489e+04 
       2.168741471244e-02       2.333698263659e+04 
       2.182025440212e-02       2.329040315121e+04 
       2.195318135319e-02       2.324297880650e+04 
       2.208619730595e-02       2.319476192568e+04 
       2.221930404276e-02       2.314578988981e+04 
       2.235250338907e-02       2.309607104761e+04 
       2.248579721438e-02       2.304557603563e+04 
       2.261918743329e-02       2.299435963119e+04 
       2.275267600658e-02       2.294239454838e+04 
       2.288626494230e-02       2.288976049205e+04 
       2.301995629691e-02       2.283643132699e+04 
