# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.336728583672e-10       4.177741156721e-15       3.212896006613e-13       0.000000000000e+00       8.222161038066e-09       4.762267924011e-10      -1.833160552136e-12 
    3       1.306020678887e-10       5.385641653479e-15       3.925361603621e-13       0.000000000000e+00       5.078200175950e-09       3.242333781725e-10      -1.402548526682e-12 
    4       1.237751437696e-10       4.678755339654e-15       3.717081128301e-13       0.000000000000e+00       3.530528717302e-09       2.428590455287e-10      -9.225160648502e-13 
    5       1.184415536364e-10       3.134537977117e-15       3.175912248357e-13       0.000000000000e+00       2.634129923808e-09       1.909433562081e-10      -5.160712458155e-13 
    6       1.147893884570e-10       1.757915307855e-15       2.560767516061e-13       0.000000000000e+00       2.057155870895e-09       1.549563733590e-10      -2.154530433912e-13 
    7       1.124209293736e-10       9.483607621609e-16       2.011020432660e-13       0.000000000000e+00       1.659365505402e-09       1.286972981446e-10      -2.269177935057e-14 
    8       1.110444621136e-10       6.078831682213e-16       1.586919111600e-13       0.000000000000e+00       1.371372750462e-09       1.088637827236e-10       7.670009100445e-14 
    9       1.104050465076e-10       4.861464012128e-16       1.302009040456e-13       0.000000000000e+00       1.154842333562e-09       9.351493160061e-11       1.056800185447e-13 
   10       1.102734297243e-10       4.146215882849e-16       1.143522232669e-13       0.000000000000e+00       9.870549950104e-10       8.136847964264e-11       8.985416393361e-14 
   11       1.105853579922e-10       3.486496805797e-16       1.085018054913e-13       0.000000000000e+00       8.313807891044e-10       7.186671488000e-11       5.323582377838e-14 
